"year","iddist","pop_landscan"
"2018","040109",83265.9
"2019","040109",82545.7
"2020","040109",69737.3
"2021","040109",71452.1
"2022","040109",71369.2
"2023","040109",70322.6
"2017","180202",4948.7
"2018","180202",2813.2
"2019","180202",2827.6
"2020","180202",730
"2021","180202",735
"2022","180202",707.1
"2023","180202",717.4
"2017","040204",6215.2
"2018","040204",6550
"2019","040204",6601.3
"2020","040204",8473.5
"2021","040204",8540.7
"2022","040204",8563.8
"2023","040204",9245
"2017","040110",111067.8
"2018","040110",126877.5
"2019","040110",117950.1
"2020","040110",98442.4
"2021","040110",94035.4
"2022","040110",92839.2
"2023","040110",90043.9
"2017","040106",2968.2
"2018","040106",3283.4
"2019","040106",4143.2
"2020","040106",4945.1
"2021","040106",5361
"2022","040106",5477.8
"2023","040106",5568.8
"2017","040102",39514.4
"2018","040102",46306.3
"2019","040102",58753.7
"2020","040102",53751.5
"2021","040102",61611.2
"2022","040102",63591.9
"2023","040102",62646.6
"2017","211304",725.1
"2018","211304",536.7
"2019","211304",538.1
"2020","211304",737.2
"2021","211304",743.4
"2022","211304",745.3
"2023","211304",762.7
"2017","210406",14488.2
"2018","210406",7682
"2019","210406",7826.4
"2020","210406",16799.9
"2021","210406",16902.7
"2022","210406",16941.5
"2023","210406",16597.3
"2017","211302",453.3
"2018","211302",369.4
"2019","211302",334.7
"2020","211302",1652.5
"2021","211302",1667
"2022","211302",1585.7
"2023","211302",1588.3
"2017","180206",1409.4
"2018","180206",806.3
"2019","180206",812.4
"2020","180206",448.9
"2021","180206",452.4
"2022","180206",807.2
"2023","180206",819
"2017","211307",1311.4
"2018","211307",970
"2019","211307",977.4
"2020","211307",1360
"2021","211307",1373.5
"2022","211307",1376.2
"2023","211307",1406.5
"2017","211301",31378.9
"2018","211301",23376.1
"2019","211301",23508.5
"2020","211301",20907.4
"2021","211301",21091.5
"2022","211301",20981.1
"2023","211301",21501.5
"2017","211305",7151
"2018","211305",5306.6
"2019","211305",5350.6
"2020","211305",4923.2
"2021","211305",4968.8
"2022","211305",4970.4
"2023","211305",5032.9
"2017","040104",32434.5
"2018","040104",53718.8
"2019","040104",74972.9
"2020","040104",100065.2
"2021","040104",112013.2
"2022","040104",116806.6
"2023","040104",115933.6
"2017","211306",702.3
"2018","211306",519.9
"2019","211306",524.5
"2020","211306",598.6
"2021","211306",604.8
"2022","211306",604.8
"2023","211306",543.8
"2017","210401",21123.9
"2018","210401",15078.1
"2019","210401",15222.5
"2020","210401",18815.3
"2021","210401",19143.3
"2022","210401",19197.9
"2023","210401",18653.8
"2017","040103",18681.6
"2018","040103",27069.5
"2019","040103",52998.1
"2020","040103",46048.6
"2021","040103",64705.8
"2022","040103",68541.3
"2023","040103",68018.8
"2017","180211",441.3
"2018","180211",360.8
"2019","180211",360.8
"2020","180211",314.2
"2021","180211",315.8
"2022","180211",291.7
"2023","180211",290.9
"2017","040125",5980
"2018","040125",7431
"2019","040125",6519.4
"2020","040125",19898.8
"2021","040125",18082.9
"2022","040125",17614.5
"2023","040125",17501.1
"2017","040120",895.3
"2018","040120",1029.8
"2019","040120",909.8
"2020","040120",1415.2
"2021","040120",1286.4
"2022","040120",1255.3
"2023","040120",1245.7
"2017","040413",1423.7
"2018","040413",1143.2
"2019","040413",1151.2
"2020","040413",2856.3
"2021","040413",2879.3
"2022","040413",2874.3
"2023","040413",2850
"2017","040520",7796.2
"2018","040520",12820.6
"2019","040520",12829.6
"2020","040520",40765.6
"2021","040520",40450.3
"2022","040520",40467.7
"2023","040520",39847.2
"2017","040206",5848.5
"2018","040206",6139.4
"2019","040206",6192.5
"2020","040206",4089.7
"2021","040206",4124
"2022","040206",4130.3
"2023","040206",4040.4
"2017","210503",8772.5
"2018","210503",6492.2
"2019","210503",6448.4
"2020","210503",16112.2
"2021","210503",15988.3
"2022","210503",15983
"2023","210503",15364
"2017","180204",4652.8
"2018","180204",2744.1
"2019","180204",2757.6
"2020","180204",2624.6
"2021","180204",2645.7
"2022","180204",2603.1
"2023","180204",2663.2
"2017","210113",2711.7
"2018","210113",2475.9
"2019","210113",2445.1
"2020","210113",1468.7
"2021","210113",1450.7
"2022","210113",1452.7
"2023","210113",1461.3
"2017","180210",4105
"2018","180210",2086.1
"2019","180210",2091.3
"2020","180210",2011.7
"2021","180210",2029.6
"2022","180210",1870.2
"2023","180210",1873.1
"2017","210111",15296.2
"2018","210111",13804.9
"2019","210111",13592.3
"2020","210111",7557.6
"2021","210111",7563.7
"2022","210111",7589.6
"2023","210111",7715.4
"2017","040128",18703.7
"2018","040128",22985.7
"2019","040128",20422.2
"2020","040128",56793.7
"2021","040128",51550.8
"2022","040128",50186.3
"2023","040128",49080.7
"2017","040119",16789.6
"2018","040119",6664.6
"2019","040119",6094.8
"2020","040119",5883.4
"2021","040119",5438.5
"2022","040119",5544.7
"2023","040119",5324
"2017","040508",1352
"2018","040508",1521.9
"2019","040508",1515.3
"2020","040508",1505.2
"2021","040508",1496.4
"2022","040508",1492.4
"2023","040508",1466
"2017","210106",4762.3
"2018","210106",4294.5
"2019","210106",4246.9
"2020","210106",10078.4
"2021","210106",9886.4
"2022","210106",9900.5
"2023","210106",9749.8
"2017","040203",978
"2018","040203",1025.1
"2019","040203",1038.3
"2020","040203",1048.8
"2021","040203",1050.8
"2022","040203",1049.5
"2023","040203",1001
"2017","040407",1157.3
"2018","040407",937.8
"2019","040407",954.6
"2020","040407",1457.4
"2021","040407",1470.9
"2022","040407",1480.4
"2023","040407",1450.7
"2017","040605",369.9
"2018","040605",310.1
"2019","040605",313.9
"2020","040605",735.2
"2021","040605",637.9
"2022","040605",618.9
"2023","040605",576.5
"2017","040401",2053.9
"2018","040401",1652.5
"2019","040401",1662
"2020","040401",5965
"2021","040401",6016.3
"2022","040401",6011.8
"2023","040401",5925.9
"2017","210101",101448
"2018","210101",91667.1
"2019","210101",90629
"2020","210101",61680.6
"2021","210101",60600.6
"2022","210101",60666
"2023","210101",61328
"2017","210114",6834.2
"2018","210114",6206.1
"2019","210114",6156.1
"2020","210114",4003.6
"2021","210114",3977.5
"2022","210114",3979.5
"2023","210114",4009.8
"2017","040303",1524.8
"2018","040303",1038.9
"2019","040303",767.2
"2020","040303",1812.5
"2021","040303",1161.6
"2022","040303",918.7
"2023","040303",868.5
"2017","040511",3394.6
"2018","040511",3799.3
"2019","040511",3816.5
"2020","040511",2618.9
"2021","040511",2592.7
"2022","040511",2583.6
"2023","040511",2491.2
"2017","040411",500.2
"2018","040411",398.4
"2019","040411",402.6
"2020","040411",738.7
"2021","040411",748.3
"2022","040411",747.3
"2023","040411",692.6
"2017","040301",2286.6
"2018","040301",1572.4
"2019","040301",1148.4
"2020","040301",1649.4
"2021","040301",1109.4
"2022","040301",870.5
"2023","040301",898.2
"2017","040606",1047.5
"2018","040606",838.4
"2019","040606",843.9
"2020","040606",998.9
"2021","040606",878.2
"2022","040606",853.7
"2023","040606",787.1
"2017","040307",5147
"2018","040307",9484.7
"2019","040307",16803.4
"2020","040307",11633.8
"2021","040307",18355.6
"2022","040307",20894.8
"2023","040307",21364.9
"2017","040502",2063.2
"2018","040502",2382.7
"2019","040502",2444.3
"2020","040502",1494.8
"2021","040502",1540
"2022","040502",1536.7
"2023","040502",1501.3
"2017","210110",7828.2
"2018","210110",7041.8
"2019","210110",6965.1
"2020","210110",6252.8
"2021","210110",6150.8
"2022","210110",6157.1
"2023","210110",6945.6
"2017","040412",675.4
"2018","040412",513.7
"2019","040412",520.7
"2020","040412",472.7
"2021","040412",475.7
"2022","040412",475.7
"2023","040412",466.7
"2017","040512",722.2
"2018","040512",816.5
"2019","040512",816.5
"2020","040512",637.6
"2021","040512",632.6
"2022","040512",631
"2023","040512",591.8
"2017","211103",8894.5
"2018","211103",10524.9
"2019","211103",10848.4
"2020","211103",7830.8
"2021","211103",7726.8
"2022","211103",7777.9
"2023","211103",7582
"2017","210104",3598.5
"2018","210104",3259.7
"2019","210104",3225.2
"2020","210104",7197.8
"2021","210104",7080.8
"2022","210104",7087.7
"2023","210104",7226.3
"2017","040519",5613.3
"2018","040519",4908.7
"2019","040519",4933
"2020","040519",2330.2
"2021","040519",2322.7
"2022","040519",2322.9
"2023","040519",2492.5
"2017","040601",3471.6
"2018","040601",2801.9
"2019","040601",2840.4
"2020","040601",1836.3
"2021","040601",1586
"2022","040601",1536.2
"2023","040601",1421.4
"2017","210107",8018.5
"2018","210107",7217.6
"2019","210107",7149.4
"2020","210107",10670.3
"2021","210107",10469.2
"2022","210107",10477.3
"2023","210107",9017.8
"2017","040507",2032.9
"2018","040507",2312.7
"2019","040507",2316.7
"2020","040507",887.3
"2021","040507",877.3
"2022","040507",874.3
"2023","040507",830.9
"2017","040503",2540.8
"2018","040503",2870
"2019","040503",2872.8
"2020","040503",2727.8
"2021","040503",2704.6
"2022","040503",2706.5
"2023","040503",2623.2
"2017","040514",9329.5
"2018","040514",6651.2
"2019","040514",6801.1
"2020","040514",3305.5
"2021","040514",3540.1
"2022","040514",3542.6
"2023","040514",4409.7
"2017","210108",6248.8
"2018","210108",5641
"2019","210108",5584.7
"2020","210108",6354.1
"2021","210108",6238.6
"2022","210108",6242.4
"2023","210108",6539.8
"2017","040308",2044
"2018","040308",2815.7
"2019","040308",1966.7
"2020","040308",2399.2
"2021","040308",1795
"2022","040308",1553.9
"2023","040308",1589.8
"2017","211102",5206.4
"2018","211102",6225.4
"2019","211102",6268.2
"2020","211102",10447.1
"2021","211102",10397.7
"2022","211102",10423.6
"2023","211102",10348.2
"2017","040410",2166.8
"2018","040410",1733.7
"2019","040410",1751.2
"2020","040410",3070.6
"2021","040410",3095.9
"2022","040410",3092
"2023","040410",3433.2
"2017","040414",1753.4
"2018","040414",1415.6
"2019","040414",1427.5
"2020","040414",2449.2
"2021","040414",2455.7
"2022","040414",2448.3
"2023","040414",2835.5
"2017","040602",1690.2
"2018","040602",1369.7
"2019","040602",1374.7
"2020","040602",1001.8
"2021","040602",863.4
"2022","040602",837.4
"2023","040602",965.1
"2017","040403",768.7
"2018","040403",601.2
"2019","040403",605.3
"2020","040403",306
"2021","040403",310
"2022","040403",388
"2023","040403",390.8
"2017","040501",2819
"2018","040501",3177
"2019","040501",3183.4
"2020","040501",2079.8
"2021","040501",2063.3
"2022","040501",2061.4
